1689215143341|44|statement|connection 0|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT VERSION()|SELECT VERSION()
1689215144720|42|statement|connection 3|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT 1|SELECT 1
1689216164980|42|statement|connection 0|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT VERSION()|SELECT VERSION()
1689216693161|43|statement|connection 0|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT VERSION()|SELECT VERSION()
1689216694665|41|statement|connection 3|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT 1|SELECT 1
1689217271397|43|statement|connection 0|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT VERSION()|SELECT VERSION()
1689217304199|44|statement|connection 0|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT VERSION()|SELECT VERSION()
1689220573448|104|statement|connection 0|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT VERSION()|SELECT VERSION()
1689220575240|37|statement|connection 3|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT 1|SELECT 1
1689222002573|44|statement|connection 0|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT VERSION()|SELECT VERSION()
1689222004275|40|statement|connection 3|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT 1|SELECT 1
1689222179477|48|statement|connection 0|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT VERSION()|SELECT VERSION()
1689222181204|42|statement|connection 3|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT 1|SELECT 1
1689409459867|46|statement|connection 0|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT VERSION()|SELECT VERSION()
1689409567298|43|statement|connection 0|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT VERSION()|SELECT VERSION()
1689409568706|39|statement|connection 3|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT 1|SELECT 1
1689409687640|41|statement|connection 6|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT  id,user_name,nick_name,password,type,status,email,phonenumber,sex,avatar,create_by,create_time,update_by,update_time,del_flag  FROM sys_user     WHERE (user_name = ? AND status = ?)|SELECT  id,user_name,nick_name,password,type,status,email,phonenumber,sex,avatar,create_by,create_time,update_by,update_time,del_flag  FROM sys_user     WHERE (user_name = 'admin' AND status = '1')
1689409912058|42|statement|connection 10|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT  id,user_name,nick_name,password,type,status,email,phonenumber,sex,avatar,create_by,create_time,update_by,update_time,del_flag  FROM sys_user     WHERE (user_name = ? AND status = ?)|SELECT  id,user_name,nick_name,password,type,status,email,phonenumber,sex,avatar,create_by,create_time,update_by,update_time,del_flag  FROM sys_user     WHERE (user_name = 'admin' AND status = '1')
1689409972412|41|statement|connection 12|url jdbc:mysql://114.132.160.23:3306/blog-cloud?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true|SELECT  id,user_name,nick_name,password,type,status,email,phonenumber,sex,avatar,create_by,create_time,update_by,update_time,del_flag  FROM sys_user     WHERE (user_name = ? AND status = ?)|SELECT  id,user_name,nick_name,password,type,status,email,phonenumber,sex,avatar,create_by,create_time,update_by,update_time,del_flag  FROM sys_user     WHERE (user_name = 'demoData' AND status = '1')
